Filename,BLEU-1,BLEU-2,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore Precision,BERTScore Recall,BERTScore F1
semevaldata.hypo,12.36,3.31,15.25,1.52,11.45,45.70,49.21,47.26
semevaldata_fewshot.hypo,14.47,5.84,20.01,4.50,15.26,47.34,53.30,49.98
