Model,Source File,BLEU-1,BLEU-2,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore Precision,BERTScore Recall,BERTScore F1
checkpoint16,ikatdata,65.53,58.81,66.05,53.27,63.53,75.00,77.03,75.85
checkpoint50,ikatdata,61.09,51.69,62.66,45.59,57.59,70.59,71.58,70.99
checkpoint16,jandata,10.74,5.54,29.32,9.44,20.79,51.17,45.41,48.03
checkpoint50,jandata,8.52,4.26,27.58,8.57,19.97,49.94,44.29,46.89
checkpoint16,semevaldata,57.01,50.65,60.76,48.35,58.17,72.06,74.96,73.28
checkpoint50,semevaldata,61.20,53.28,60.61,46.57,56.91,70.71,72.50,71.48
